Taxpayer_ID,Year,Tax_due,Sector,Revenues,Other_revenues,Expenses,Donations_NGO,Donations_Others,Donations_Govt,Other_additions,Op_WDV_Bld,Op_WDV_Intang,Op_WDV_Mach,Op_WDV_Others,Op_WDV_Comp,Add_Bld,Add_Intang,Add_Mach,Add_Others,Add_Comp,Excl_Bld,Excl_Intang,Excl_Mach,Excl_Others,Excl_Comp,Other_deductions,Carried_forward_losses,Exemptions,Investment_incentive,Exchange_rate,Loss_lag1,Loss_lag2,Loss_lag3,Loss_lag4,Loss_lag5,Loss_lag6,Loss_lag7,Loss_lag8,Net_accounting_profit,Total_additions_to_GP,Total_taxable_profit,Tax_depr,Total_deductions,Net_taxable_profit,Donations_allowed,CF_losses,Tax_base,Net_tax_base,Net_tax_base_behavior,Net_tax_base_Egyp_Pounds,citax,newloss1,newloss2,newloss3,newloss4,newloss5,newloss6,newloss7,newloss8,Used_loss_total,Tax_depr_Bld,Tax_depr_Intang,Tax_depr_Mach,Tax_depr_Others,Tax_depr_Comp,Cl_WDV_Bld,Cl_WDV_Intang,Cl_WDV_Mach,Cl_WDV_Others,Cl_WDV_Comp,Profit_flag
2000000778,2020,0,0,55102671,37443057,74606152,0,0,0,23525276,525714090,0,0,14302280,0,10487048,0,0,3467416,0,0,0,0,10500,0,10500,0,0,0,1,0,0,0,0,0,0,0,0,17939576,23525276,41464852,32436589,32447089,9017762,0,0,9017762,9017762,9017762,9017762,2028997,0,0,0,0,0,0,0,0,0,27669163,0,0,4767427,0,525714090,0,0,14302280,0,1
2000001451,2020,0,0,6068486,4520,4212120,0,0,0,4210761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1860886,4210761,6071647,0,0,6071647,0,0,6071647,6071647,6071647,6071647,1366121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000000412,2020,0,0,5090533,2361838,17151100,0,0,0,17696562,1727908,0,0,1146707,31408,0,0,0,871500,2992,0,0,0,0,0,1566378,0,0,0,1,0,0,0,0,0,0,0,0,-9698728,17696562,7997834,504586,2070964,5926870,0,0,5926870,5926870,5926870,5926870,1333546,0,0,0,0,0,0,0,0,0,90943,0,0,382236,31408,1727908,0,0,1146707,31408,1
2000004589,2020,0,0,11812928,10113476,7263337,0,0,0,5857278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14607104,0,0,0,1,0,0,0,0,0,0,0,0,14663067,5857278,20520345,0,14607104,5913241,0,0,5913241,5913241,5913241,5913241,1330479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000000498,2020,0,0,3679645,0,2459392,0,0,0,2391005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1220253,2391005,3611259,0,0,3611259,0,0,3611259,3611259,3611259,3611259,812533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000002624,2020,0,0,8415559,913513,16907892,0,0,0,11548790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683474,0,0,0,1,0,0,0,0,0,0,0,0,-7578820,11548790,3969970,0,683474,3286496,0,0,3286496,3286496,3286496,3286496,739462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000001701,2020,0,0,7524285,2233976,5725940,0,0,0,1021635,0,0,0,373027,41938,0,0,0,290132,56820,0,0,0,0,0,3552501,0,0,0,1,0,0,0,0,0,0,0,0,4032321,1021635,5053957,166281,3718781,1335175,0,0,1335175,1335175,1335175,1335175,300414,0,0,0,0,0,0,0,0,0,0,0,0,124342,41938,0,0,0,373027,41938,1
2000001571,2020,0,0,1497850,7609,1503271,0,0,0,1186093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2188,1186093,1188281,0,0,1188281,0,0,1188281,1188281,1188281,1188281,267363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000002255,2020,0,0,1212514,1648,1555899,0,0,0,1021118,0,729851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-341737,1021118,679380,81095,81095,598286,0,0,598286,598286,598286,598286,134614,0,0,0,0,0,0,0,0,0,0,81095,0,0,0,0,729851,0,0,0,1
2000001757,2020,0,0,584168,0,644908,0,0,0,524720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-60740,524720,463979,0,0,463979,0,0,463979,463979,463979,463979,104395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
